download-csv.php﻿id;title;image;release_at;summary
242;Kuro;;2031-01-05;"Makhluk supernatural yang muncul dalam cerita. Kuro memiliki kekuatan yang luar biasa dan sering kali terlibat dalam konflik dengan karakter utama."
241;Kyouko;;2031-01-04;"Karakter misterius yang memiliki pengetahuan mendalam tentang dunia supernatural. Dia sering memberikan informasi penting kepada Momo dan Oka, meskipun motivasinya terkadang tidak jelas."
240;Kenta;;2031-01-03;"Teman sekelas Momo yang cerdas dan analitis. Dia sering memberikan perspektif yang lebih rasional dalam situasi yang aneh dan membantu Momo dan Oka dalam menghadapi berbagai tantangan."
239;Okarin;https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/9324ed32-2263-41ee-89bf-873141abaa47/width=450/00144-anything-v4.5-pruned_3642550179.jpeg;2031-01-09;"Teman dekat Momo Ayase yang memiliki sifat ceria dan optimis. Dia sering kali terlibat dalam petualangan bersama Momo dan memiliki ketertarikan pada hal-hal yang berhubungan dengan paranormal (Alien)."
195;"Kurz Weber";;1984-12-01;"Rekan Sousuke dan Melissa di Mithril. Seorang operator senjata yang humoris dan santai, Kurz sering kali menjadi penghibur di antara rekan-rekannya."
194;"Melissa Mao";;1984-11-01;"Seorang anggota Mithril yang merupakan atasan Sousuke. Dia adalah seorang prajurit yang berpengalaman dan memiliki kepribadian yang tegas serta pragmatis."
193;Gauron;;1984-10-01;"Antagonis utama dalam cerita, seorang teroris yang berbahaya dan sangat terampil. Ia memiliki tujuan jahat yang berhubungan dengan teknologi dan kekuatan militer."
192;"Tessa Testarossa";;1984-09-01;"Kapten kapal selam Tuatha De Danaan, yang juga merupakan anggota Mithril. Tessa memiliki kepribadian yang lembut dan ceria, tetapi juga sangat kompeten dalam militer. Ia memiliki perasaan terhadap Sousuke."
191;"Kaname Chidori";;1984-08-01;"Seorang siswi SMA yang menjadi target perlindungan Sousuke. Kaname cerdas, kuat, dan mandiri, tetapi juga sering merasa frustrasi dengan perilaku Sousuke yang kaku."
190;"Sousuke Sagara";;1984-07-01;"Seorang tentara muda dari organisasi Mithril. Ia ditugaskan untuk melindungi Kaname Chidori. Sousuke adalah seorang prajurit yang terlatih, tetapi sering kali tidak mengerti situasi sosial di sekitarnya."
188;"Winry Rockbell";;2020-01-15;"Teman masa kecil Edward dan Alphonse, serta seorang mekanik berbakat. Ia membantu memperbaiki prostesis Edward dan selalu mendukung mereka dalam perjalanan mereka."
187;Scar;;2020-01-14;"Seorang pemburu alkemis yang memiliki kebencian mendalam terhadap alkemis. Memiliki kemampuan untuk menghancurkan transmutasi alkimia dengan tangan kanannya yang bertato."
186;"Riza Hawkeye";;2020-01-13;"Letnan kolonel dan tangan kanan Roy Mustang. Seorang penembak jitu yang sangat terampil dan setia kepada Roy. Memiliki latar belakang yang kuat dalam militer."
185;"Roy Mustang";;2020-01-12;"Seorang alkemis berperingkat tinggi dan pemimpin tim Elric. Dikenal sebagai ""Flame Alchemist"" karena kemampuannya mengendalikan api. Memiliki ambisi untuk menjadi Panglima Militer dan membawa perubahan di negara."
184;"Alphonse Elric";;2020-01-11;"Adik Edward yang tubuhnya hilang dalam ritual alkimia. Jiwanya terikat pada baju zirah. Alphonse memiliki sifat yang lembut dan bijaksana, serta selalu mendukung kakaknya."
183;"Edward Elric";;2020-01-10;"Seorang alkemis jenius dan protagonis utama. Ia mencari cara untuk mengembalikan tubuhnya dan adiknya setelah ritual alkimia yang gagal. Memiliki kemampuan alkimia tanpa menggunakan transmutasi lingkaran."
182;"Iron Cute Cate";https://image.tensorartassets.com/cdn-cgi/image/w=2048/posts/images/646996979003610221/e7c3efbb-77ec-466f-a413-61ba798ba6b9.jpg;2024-11-15;"Iron cat is cute"
181;Chrome;;2024-04-23;"Chrome adalah seorang pemuda yang tinggal di desa dekat tempat Senku dan Taiju. Dia sangat tertarik dengan sains dan menjadi salah satu pengikut Senku. Meskipun awalnya tidak memiliki pengetahuan yang mendalam, dia belajar banyak dari Senku dan menjadi ilmuwan yang handal."
